NAME	CODE	POLYID	core	periphery	NATION	CNTRYNAME	GDP89	GDP90	GDP91	GROWTH	MANUF80	MANUF89	AGRI	XCOO	YCOO	INV
Hannover	DE92	29	1	0	49	Germany	9.740819	9.825126	9.843735	0.039818	0.275341	0.247611	0.037710	9.368682	52.396317	0.274612
Luneburg	DE93	30	1	0	49	Germany	9.406620	9.507998	9.529137	0.036393	0.255104	0.216984	0.077268	9.662527	53.145968	0.274612
Weser-Ems	DE94	31	1	0	49	Germany	9.567265	9.666188	9.690180	0.039923	0.260170	0.248622	0.077898	7.679953	53.008280	0.274612
Dusseldorf	DEA1	32	1	0	49	Germany	9.804116	9.892052	9.894857	0.036616	0.357320	0.319330	0.016498	6.551630	51.467416	0.220965
Koln	DEA2	33	1	0	49	Germany	9.753475	9.830255	9.831050	0.035637	0.344854	0.287055	0.017421	6.682943	50.783344	0.220965
Munster	DEA3	34	1	0	49	Germany	9.566699	9.648802	9.652125	0.035573	0.373328	0.294749	0.037654	7.357563	51.912602	0.220965
Detmold	DEA4	35	1	0	49	Germany	9.686110	9.769219	9.768141	0.034256	0.348369	0.349804	0.035456	8.828810	51.997010	0.220965
Arnsberg	DEA5	36	1	0	49	Germany	9.671216	9.755544	9.762361	0.036887	0.351659	0.358947	0.016541	8.041419	51.333339	0.220965
Koblenz	DEB1	37	1	0	49	Germany	9.555824	9.648795	9.641677	0.028804	0.288928	0.286213	0.040257	7.471393	50.222395	0.294469
Trier	DEB2	38	1	0	49	Germany	9.482610	9.572689	9.590734	0.030315	0.283564	0.220987	0.106066	6.518592	50.015962	0.294469
Rheinhessen-Pfalz	DEB3	39	1	0	49	Germany	9.722620	9.795123	9.783020	0.026676	0.331279	0.318432	0.049019	7.753774	49.461926	0.294469
Saarland	DEC	40	1	0	49	Germany	9.664633	9.754686	9.766568	0.038986	0.335914	0.296175	0.008308	6.899049	49.347875	0.275444
Schleswig-Holstein	DEF	41	1	0	49	Germany	9.590766	9.698700	9.711173	0.040416	0.232078	0.223814	0.050269	9.556526	54.325673	0.289978
Denmark	DK	42	1	0	45	Denmark	9.824469	9.891511	9.872876	0.047464	0.203591	0.200746	0.057095	10.825759	55.572729	0.193302
Galicia	ES11	43	0	1	34	Spain	8.870214	8.962469	9.011750	0.044328	0.144619	0.141744	0.337776	-8.472765	42.902627	0.250097
Asturias	ES12	44	0	1	34	Spain	9.071896	9.154193	9.195077	0.040055	0.236800	0.207896	0.156280	-5.929567	43.437237	0.250097
Cantabria	ES13	45	0	1	34	Spain	9.136708	9.220083	9.253823	0.040392	0.263632	0.248474	0.147800	-3.864517	43.308633	0.250097
Pais Vasco	ES21	46	0	1	34	Spain	9.310936	9.410633	9.453462	0.043274	0.435589	0.370427	0.037948	-2.597882	43.152928	0.250097
Navarra	ES22	47	0	1	34	Spain	9.372082	9.446250	9.498832	0.037479	0.353788	0.366727	0.085459	-1.477781	42.866353	0.250097
La Rioja	ES23	48	0	1	34	Spain	9.242265	9.361893	9.416734	0.042286	0.351060	0.355467	0.121602	-2.447980	42.292406	0.250097
Aragon	ES24	49	0	1	34	Spain	9.236095	9.339094	9.394725	0.040053	0.264708	0.258535	0.121914	-0.400122	41.830721	0.250097
Comunidad de Madrid	ES3	50	0	1	34	Spain	9.335450	9.460032	9.512378	0.048612	0.235025	0.194129	0.011104	-3.752321	40.395270	0.250097
Castilla y Leon	ES41	51	0	1	34	Spain	9.014982	9.103924	9.152655	0.045754	0.188408	0.182527	0.197968	-4.525142	41.845253	0.250097
Castilla-la Mancha	ES42	52	0	1	34	Spain	8.944744	9.056070	9.099297	0.039178	0.206649	0.207685	0.204031	-3.166404	39.712513	0.250097
Extremadura	ES43	53	0	1	34	Spain	8.695390	8.805405	8.869983	0.047239	0.106170	0.085958	0.246365	-6.114118	39.098399	0.250097
Cataluna	ES51	54	0	1	34	Spain	9.328224	9.438702	9.490288	0.043897	0.362080	0.325692	0.039429	1.715711	41.868672	0.250097
Comunidad Valenciana	ES52	55	0	1	34	Spain	9.122409	9.243707	9.293523	0.039899	0.302597	0.283093	0.095606	-0.369790	39.378865	0.250097
Baleares	ES53	56	0	1	34	Spain	9.358847	9.491753	9.555936	0.042716	0.152432	0.134457	0.042766	2.774912	39.488135	0.250097
Andalucia	ES61	57	0	1	34	Spain	8.826589	8.967836	9.018067	0.039819	0.155001	0.138916	0.147718	-5.101089	37.222362	0.250097
Murcia	ES62	58	0	1	34	Spain	9.040080	9.181231	9.214175	0.035444	0.233388	0.208813	0.138987	-1.154292	37.753613	0.250097
Ile de France	FR1	59	1	0	33	France	10.068490	10.136383	10.119221	0.039628	0.237435	0.187089	0.005107	2.436941	48.745501	0.218598
Champagne-Ardenne	FR21	60	1	0	33	France	9.580537	9.692501	9.628950	0.037909	0.310898	0.266455	0.103940	4.664471	48.670236	0.213735
Picardie	FR22	61	1	0	33	France	9.459082	9.525954	9.499047	0.035202	0.337634	0.289075	0.081351	2.556332	49.725162	0.213965
Haute-Normandie	FR23	62	1	0	33	France	9.677349	9.707248	9.693314	0.037887	0.309088	0.270244	0.051848	1.107744	49.469152	0.204619
Centre	FR24	63	1	0	33	France	9.577289	9.625861	9.601822	0.031715	0.276506	0.252106	0.087357	1.621746	47.607470	0.212008
Basse-Normandie	FR25	64	1	0	33	France	9.433210	9.516626	9.507850	0.042239	0.239057	0.218146	0.135961	-0.676831	48.939242	0.256715
Bourgogne	FR26	65	1	0	33	France	9.534944	9.595290	9.566233	0.036654	0.270916	0.243063	0.093801	4.355121	47.178097	0.196006
Nord - Pas-de-Calais	FR3	66	1	0	33	France	9.448157	9.507782	9.497696	0.038945	0.327575	0.259000	0.042388	2.712564	50.409520	0.217303
Lorraine	FR41	67	1	0	33	France	9.484643	9.549445	9.527743	0.036868	0.312403	0.263627	0.040628	6.200168	48.770878	0.233386
